,id,ano,sentiment
219,12640,2009,Very Positive
220,21600,2009,Mostly Negative
221,27020,2008,Mixed
222,24740,2009,Very Positive
224,26000,2009,Very Positive
226,26005,2009,3 user reviews
227,11330,2009,Very Positive
228,27800,2009,Mostly Positive
229,9850,2009,Mixed
230,3600,2009,Mixed
232,29540,2005,6 user reviews
234,29570,2008,Positive
235,23700,2009,Mixed
236,16060,2009,Mixed
237,1930,2009,Mostly Positive
238,18470,2009,Mixed
239,7510,2009,Mixed
240,22200,2009,Very Positive
241,26007,2009,1 user reviews
242,25900,2008,Very Positive
243,16200,2009,Mostly Positive
244,7840,2009,Mixed
245,8890,2005,Very Positive
246,8880,2002,Mixed
247,34500,2009,Positive
248,1280,2009,Very Positive
249,10150,2009,Very Positive
251,12470,2004,Mixed
252,22340,2006,Mostly Positive
253,22330,2007,Very Positive
254,22320,2002,Very Positive
255,900883,2009,Very Positive
256,12440,2007,Mixed
257,32710,1999,Mostly Positive
258,32740,1998,Mostly Positive
259,12460,2008,Mixed
260,21980,2009,Very Positive
261,31860,2007,Positive
262,31900,2006,Positive
263,31920,2008,Positive
264,31930,2007,Positive
265,35800,2008,Very Positive
266,12690,2009,Mostly Positive
267,31170,2009,Very Positive
268,21660,2009,Mostly Positive
269,6080,2007,Very Positive
270,6010,1992,Very Positive
271,6090,2003,Very Positive
272,6060,2005,Very Positive
273,32310,1989,Mostly Positive
274,32330,2008,Mostly Positive
275,32360,2009,Overwhelmingly Positive
276,35300,2008,Mostly Positive
277,35310,2009,Mostly Positive
278,31980,2009,Mixed
279,31990,2009,3 user reviews
280,10140,2006,Mostly Positive
281,10100,2006,Mostly Positive
282,10130,2007,Mostly Positive
283,10110,2006,Mostly Positive
284,1256,2009,Positive
285,10120,2008,Mixed
286,33520,2009,Very Positive
287,3610,2009,9 user reviews
288,21680,2008,Mostly Positive
289,21670,2009,Mostly Positive
290,21030,2009,Mixed
291,36000,2009,Mixed
292,32370,2003,Very Positive
293,29180,2009,Very Positive
294,38410,1998,Very Positive
295,38420,2001,Very Positive
296,38430,1999,Very Positive
297,38440,2000,Very Positive
298,35050,2009,Positive
299,31180,2009,Positive
300,37960,2009,Positive
301,38000,2009,Positive
302,37400,2009,Very Positive
303,13570,2005,Very Positive
304,11390,2009,Mixed
305,34420,2009,Mixed
306,43100,2009,Mostly Positive
307,33730,2009,Mixed
308,35000,2009,Very Positive
311,37600,2009,Very Positive
312,24029,2009,Mixed
313,32140,2009,Mostly Positive
314,31190,2009,Positive
315,32770,2009,Very Positive
316,208306,2009,Positive
317,37300,2009,Mixed
318,208300,2009,Very Positive
319,40300,2009,Very Positive
320,35070,2009,Mostly Positive
321,10606,2009,Mostly Positive
322,40700,2009,Overwhelmingly Positive
323,24840,2007,Mostly Positive
324,24870,2009,Mostly Positive
325,41500,2009,Very Positive
326,24800,2009,Very Positive
327,901735,2009,Very Positive
328,42800,2009,1 user reviews
329,39560,2009,Mostly Negative
330,39550,2009,Mostly Positive
331,40330,2009,Very Positive
332,40320,2009,Very Positive
333,31200,2009,Mixed
334,3130,2009,Very Positive
335,41100,2009,Very Positive
336,39540,2009,Very Positive
337,34640,2005,9 user reviews
338,34630,2003,9 user reviews
339,42200,2009,Mostly Positive
340,41000,2009,Very Positive
341,40340,2009,Mostly Positive
342,17450,2009,Very Positive
343,37100,2009,Mostly Positive
344,37500,2009,Mostly Positive
345,42810,2009,Mostly Positive
346,10180,2009,Very Positive
347,32440,2009,Very Positive
348,11450,2007,Very Positive
349,12710,2008,Very Positive
350,24790,2007,Very Positive
351,29120,2008,7 user reviews
352,24810,2009,Very Positive
353,41800,2009,Very Positive
354,45300,2009,Mixed
355,41900,2005,Very Positive
356,35420,2009,Mostly Negative
357,32430,2009,Mixed
358,25806,2009,Positive
359,22370,2009,Very Positive
360,41802,2009,1 user reviews
361,38080,2007,Positive
362,38090,2008,2 user reviews
363,38100,2009,2 user reviews
364,38070,2009,8 user reviews
365,38210,2009,Mostly Positive
366,45700,2008,Very Positive
367,46410,2010,Mixed
368,38110,2009,6 user reviews
369,17570,2010,Very Positive
370,38130,2008,Positive
371,38160,2010,1 user reviews
372,38150,2009,5 user reviews
373,38120,2007,Positive
374,38140,2009,7 user reviews
375,36300,2010,Mostly Positive
376,36310,2010,Positive
377,36320,2010,5 user reviews
378,37030,2010,Mostly Positive
379,32450,2010,Mostly Positive
380,34180,2010,4 user reviews
381,44100,2010,Very Positive
383,46250,2010,Mostly Positive
384,38180,2007,6 user reviews
385,10695,2010,Mostly Positive
386,41050,2001,Overwhelmingly Positive
387,24055,2010,8 user reviews
388,48700,2010,Overwhelmingly Positive
389,39900,2010,Mixed
390,49900,2010,Mixed
391,42120,2010,Mostly Positive
392,12220,2010,Mostly Positive
393,45730,2010,Mixed
394,45400,2010,Very Positive
395,49600,2010,Overwhelmingly Positive
396,901399,2010,Very Positive
397,43500,2010,Mostly Negative
398,45302,2010,Mostly Negative
399,40930,2010,Very Positive
400,39640,2003,Mostly Positive
401,39630,2001,Mostly Positive
402,23150,2010,Mixed
403,50940,2006,4 user reviews
404,50920,2008,9 user reviews
405,34178,2010,Positive
406,37340,2008,4 user reviews
407,37390,2009,9 user reviews
408,37310,2009,Mostly Negative
409,37360,2007,5 user reviews
410,49000,2009,Mostly Positive
411,37330,2010,4 user reviews
412,37320,2008,5 user reviews
413,37370,2007,3 user reviews
414,37380,2009,6 user reviews
415,19080,2010,7 user reviews
416,31700,2008,Very Positive
417,19030,2010,Mostly Positive
418,50820,2010,Positive
419,49800,2010,Mostly Negative
420,33650,2010,Very Positive
422,33660,2010,Mostly Positive
423,34281,2010,3 user reviews
424,34272,2010,4 user reviews
425,34270,2010,Mostly Positive
426,34276,2010,6 user reviews
427,34274,2010,1 user reviews
428,34275,2010,2 user reviews
429,34277,2010,1 user reviews
430,34273,2010,3 user reviews
431,34280,2010,3 user reviews
432,34278,2010,6 user reviews
433,34282,2010,1 user reviews
434,34279,2010,2 user reviews
435,34010,2010,Very Positive
436,22610,2010,Mostly Positive
437,22440,2010,Positive
438,18508,2010,9 user reviews
439,22430,2010,Mostly Positive
440,22410,2010,Very Positive
441,22420,2010,Positive
442,630,2010,Overwhelmingly Positive
443,22400,2010,Positive
444,24780,2003,Mostly Positive
445,33670,2010,Mixed
446,40420,2010,Mostly Positive
447,34920,2010,Mostly Negative
449,46720,2008,Mostly Negative
450,28000,2010,Mixed
451,39680,2010,Very Positive
452,25962,2010,7 user reviews
454,63900,2010,Very Positive
455,50130,2011,Very Positive
456,24075,2010,9 user reviews
457,47540,2010,Very Positive
458,50510,2010,Mixed
462,25764,2010,2 user reviews
463,42980,2010,Mixed
464,48800,2010,Mixed
465,22600,2010,Very Positive
466,46770,2010,Mostly Positive
467,65700,2010,Very Positive
468,42960,2010,Very Positive
469,27930,2010,5 user reviews
471,28010,2010,9 user reviews
472,28012,2010,Mostly Positive
473,24640,2010,Mostly Negative
474,28011,2010,7 user reviews
475,4850,2002,Very Positive
476,57640,2010,Very Positive
477,62100,2010,Very Positive
478,50145,2010,Mixed
479,34841,2010,Mostly Positive
480,70300,2010,Overwhelmingly Positive
482,57300,2010,Overwhelmingly Positive
483,70400,2010,Overwhelmingly Positive
484,46600,2010,Mostly Positive
485,34314,2010,1 user reviews
486,34310,2010,2 user reviews
487,70100,2010,Mixed
488,70110,2010,Mixed
489,38600,2010,Very Positive
490,57620,2010,Mixed
491,34284,2010,3 user reviews
492,63910,2010,Very Positive
493,24082,2010,Positive
494,8930,2010,Overwhelmingly Positive
495,49310,2010,2 user reviews
496,41060,2002,Overwhelmingly Positive
497,70900,2010,Very Positive
498,9940,2010,Very Positive
499,22650,2010,Mostly Positive
501,50620,2010,Very Positive
502,2840,1999,Mostly Positive
503,42920,2010,Mixed
504,29700,2007,1 user reviews
505,2850,2000,Mostly Positive
507,70200,2010,Very Positive
508,70210,2010,Very Positive
511,47790,2010,Mostly Positive
512,46450,2010,Mixed
513,45750,2010,Mixed
514,57800,2010,Mostly Negative
515,22380,2010,Overwhelmingly Positive
516,67000,2010,Mostly Positive
517,80300,2010,Positive
518,50000,2010,Very Positive
519,16868,2010,Very Positive
520,18040,2010,Very Positive
521,71115,2010,4 user reviews
522,34317,2010,2 user reviews
523,71114,2010,3 user reviews
524,71112,2010,5 user reviews
525,71113,2010,Positive
526,71111,2010,2 user reviews
527,71110,2010,1 user reviews
528,34319,2010,1 user reviews
529,34318,2010,2 user reviews
530,34316,2010,3 user reviews
531,34315,2010,1 user reviews
532,6120,2010,Very Positive
533,35460,2010,Mostly Positive
534,32500,2010,Mixed
535,62000,2010,Very Positive
536,33570,2010,Mostly Positive
537,63700,2010,Very Positive
538,46362,2010,3 user reviews
539,49320,2010,Mixed
540,72400,2010,Mostly Positive
541,42964,2010,Mostly Positive
542,43011,2010,1 user reviews
543,33980,2010,Mixed
544,65710,2009,Very Positive
545,33990,2010,Mixed
546,33950,2007,Positive
547,65400,2010,Very Positive
548,42700,2010,Very Positive
550,72500,2010,Mixed
551,15740,2010,Mostly Positive
552,38924,2010,1 user reviews
553,15750,2010,Very Positive
554,45500,2010,Mostly Positive
555,31290,2010,Very Positive
556,12100,2002,Very Positive
557,12120,2005,Very Positive
558,35135,2011,8 user reviews
559,35137,2011,4 user reviews
560,35138,2011,6 user reviews
561,35136,2011,Mixed
562,12110,2003,Very Positive
563,33390,2011,Mostly Positive
564,92300,2011,Mostly Positive
565,80000,2011,Mostly Negative
566,47780,2011,Very Positive
567,51060,2011,Very Positive
568,65080,2011,Mostly Positive
569,71168,2011,5 user reviews
570,63200,2011,Very Positive
571,60340,2011,Mostly Positive
572,71116,2011,5 user reviews
573,71161,2011,2 user reviews
574,71119,2011,3 user reviews
575,71118,2011,5 user reviews
576,71117,2011,4 user reviews
577,71166,2011,5 user reviews
578,71165,2011,6 user reviews
579,71163,2011,9 user reviews
580,71164,2011,7 user reviews
581,71162,2011,Positive
582,71160,2011,4 user reviews
583,71120,2011,8 user reviews
584,47890,2009,Very Positive
585,48802,2011,8 user reviews
586,47896,2010,Positive
587,47892,2009,Positive
588,47894,2010,Very Positive
589,47893,2010,Positive
590,47895,2010,Mostly Positive
591,42000,2011,Mostly Positive
592,47570,2011,2 user reviews
593,47897,2011,7 user reviews
594,57700,2011,Mostly Positive
595,63660,2011,Mixed
596,90504,2011,2 user reviews
597,7520,2011,Mixed
598,99200,2011,Very Positive
600,24449,2011,1 user reviews
601,41814,2011,3 user reviews
603,57650,2011,Mixed
604,40407,2011,5 user reviews
605,33770,2011,Mostly Positive
606,47800,2011,Mostly Positive
607,18408,2011,1 user reviews
608,63710,2011,Very Positive
609,55100,2011,Mixed
610,80200,2011,Very Positive
611,92400,2011,Mostly Positive
612,56436,2011,3 user reviews
614,56433,2011,1 user reviews
616,56431,2011,1 user reviews
617,39120,2013,Mostly Positive
618,56437,2011,Very Positive
619,94000,2011,Mixed
621,92700,2011,Mostly Negative
622,73012,2011,1 user reviews
623,48803,2011,Mostly Positive
624,56536,2011,2 user reviews
625,44620,2011,Positive
626,91200,2011,Very Positive
627,46790,2010,Mixed
628,73170,2011,Very Positive
630,70000,2011,Very Positive
631,57730,2011,Mixed
632,620,2011,Overwhelmingly Positive
633,42918,2011,Very Positive
634,91600,2011,Very Positive
635,73020,2011,Mostly Positive
637,56438,2011,Positive
639,98200,2011,Very Positive
641,72905,2011,3 user reviews
642,22450,2011,Mixed
643,42140,2011,Mostly Positive
644,47898,2011,Positive
646,73031,2011,Positive
648,46490,2009,Mixed
649,46480,2005,Very Positive
650,42718,2011,Mostly Positive
651,39160,2011,Mixed
652,57900,2011,Mixed
653,102700,2011,Mixed
654,9880,2009,Mostly Positive
655,99900,2011,Very Positive
656,22520,2011,1 user reviews
657,73014,2011,1 user reviews
658,7530,2011,Mixed
659,95700,2011,Very Positive
660,49470,2011,Very Positive
661,91810,2011,Mostly Positive
662,49604,2011,Very Positive
664,97000,2011,Very Positive
665,46760,2011,9 user reviews
666,46830,2011,Mixed
667,73035,2011,Positive
668,46840,2011,7 user reviews
669,21100,2011,Mostly Positive
670,73037,2011,Mostly Positive
671,73036,2011,Mostly Positive
673,901679,2011,Mostly Positive
675,99100,2011,Mostly Negative
676,44660,2011,Positive
679,42903,2011,4 user reviews
680,22631,2011,9 user reviews
681,22634,2011,6 user reviews
682,22633,2011,5 user reviews
684,22632,2011,7 user reviews
685,94590,2011,Very Positive
686,35425,2011,Positive
688,105700,2011,Mostly Positive
689,72750,2011,Very Positive
691,63950,2011,Mixed
692,61100,2011,Mostly Positive
693,65228,2011,9 user reviews
694,55205,2011,Positive
695,102200,2011,Mostly Positive
696,64013,2011,Mixed
697,15522,2011,3 user reviews
698,63802,2011,1 user reviews
699,92302,2011,7 user reviews
700,73183,2011,6 user reviews
701,42210,2010,Mostly Positive
702,65790,2011,Very Positive
703,92803,2011,Positive
704,57690,2011,Very Positive
705,42220,2011,Positive
706,42230,2010,Mixed
707,111000,2011,Mixed
709,38740,2011,Very Positive
710,99612,2011,Mixed
711,99614,2011,Positive
712,91604,2011,5 user reviews
713,70120,2011,Mostly Negative
714,107200,2011,Very Positive
715,97108,2011,9 user reviews
716,97106,2011,5 user reviews
717,97107,2011,5 user reviews
718,56487,2011,2 user reviews
719,72760,2011,Very Positive
720,99910,2011,Very Positive
721,18070,2011,Mostly Positive
722,55150,2011,Very Positive
723,63940,2011,Mixed
724,98400,2012,Very Positive
726,46520,2011,Mixed
727,22230,2011,Very Positive
728,35450,2011,Very Positive
729,33420,2011,Mixed
731,49473,2011,4 user reviews
732,73210,2011,Mixed
733,110600,2011,Mixed
734,200080,2010,Mostly Positive
735,200440,2011,Very Positive
736,111400,2011,Mixed
737,57923,2011,Mostly Positive
738,48220,2011,Mixed
739,9420,2011,Overwhelmingly Positive
740,113200,2011,Overwhelmingly Positive
741,90208,2011,1 user reviews
742,200230,2011,Mixed
743,9350,2007,Very Positive
744,901776,2011,Very Positive
745,201100,2011,Positive
746,80202,2011,1 user reviews
747,80204,2011,1 user reviews
748,34842,2011,Positive
749,95900,2011,Mixed
750,80207,2011,1 user reviews
751,45770,2011,Mostly Positive
752,18080,2011,2 user reviews
753,200670,2011,Mostly Negative
754,108210,2011,Mixed
755,65231,2011,Mixed
756,115100,2011,Overwhelmingly Positive
757,47930,2011,Very Positive
758,41816,2011,3 user reviews
759,201480,2011,Mixed
760,200910,2011,Very Positive
761,200130,2011,Mostly Positive
762,201490,2011,Very Negative
763,65610,2011,Mostly Negative
764,43190,2011,Very Positive
765,102622,2011,Positive
766,39270,2011,Positive
767,24200,2011,Very Positive
768,55370,2011,Mostly Positive
769,57696,2011,Positive
770,71340,2011,Very Positive
771,202670,2011,Positive
772,102623,2011,Positive
773,115300,2011,Very Positive
774,110800,2011,Very Positive
775,110810,2011,Very Positive
776,64016,2011,2 user reviews
778,94202,2011,Positive
779,202520,2011,9 user reviews
780,202523,2011,Positive
781,202521,2011,6 user reviews
782,61310,2011,Mostly Positive
783,73092,2011,9 user reviews
784,91100,2011,Very Positive
785,73091,2011,Positive
786,34345,2011,2 user reviews
787,201272,2011,Positive
788,73058,2011,Mostly Negative
789,25812,2011,3 user reviews
790,25811,2011,1 user reviews
791,46350,2010,Mixed
792,200880,2011,2 user reviews
793,202200,2011,Mostly Positive
794,24083,2011,Mostly Positive
795,113400,2011,Mixed
796,80340,2012,Very Positive
797,200870,2011,2 user reviews
798,64017,2011,9 user reviews
799,35429,2011,5 user reviews
800,201510,2011,Overwhelmingly Negative
801,201877,2011,Mixed
802,203700,2011,8 user reviews
803,57695,2011,Positive
804,23530,2011,Very Positive
805,49475,2011,5 user reviews
806,55344,2011,9 user reviews
807,55341,2011,7 user reviews
808,98820,2011,8 user reviews
809,55340,2011,Positive
810,49337,2011,1 user reviews
811,55343,2011,Mostly Positive
812,91616,2011,7 user reviews
813,201310,2011,Very Positive
814,35720,2013,Overwhelmingly Positive
815,204381,2011,9 user reviews
816,204010,2011,3 user reviews
817,111403,2011,5 user reviews
818,203990,2011,Very Positive
819,204030,2011,Very Positive
820,200620,2011,4 user reviews
821,202452,2011,1 user reviews
822,204380,2011,Mixed
823,55395,2011,Mixed
824,200610,2011,9 user reviews
825,55471,2011,8 user reviews
826,55473,2011,6 user reviews
827,55472,2011,Positive
828,55470,2011,6 user reviews
829,55347,2011,Mixed
830,23553,2011,1 user reviews
834,200860,2011,3 user reviews
836,200390,2012,Mixed
837,65244,2012,Positive
838,24480,2012,Mixed
839,24488,2012,5 user reviews
840,204340,2005,Very Positive
841,203510,2012,Very Positive
842,9900,2010,Mostly Positive
843,204386,2012,Positive
844,204385,2012,Mostly Positive
845,57740,2012,Mixed
846,204390,2012,Very Positive
847,42968,2012,Positive
848,105800,2012,Very Positive
850,111100,2012,Very Positive
851,203210,2012,Very Positive
852,45773,2012,Mostly Negative
853,45774,2012,Mostly Negative
855,203770,2012,Very Positive
856,203772,2012,Mostly Positive
857,203773,2012,Positive
859,205120,2012,3 user reviews
860,108710,2012,Very Positive
861,24065,2010,Mostly Negative
862,73039,2012,7 user reviews
863,10220,2011,Mostly Negative
864,108110,2012,Mostly Negative
865,65302,2012,7 user reviews
866,200210,2012,Very Positive
867,42905,2012,1 user reviews
868,55381,2012,Very Positive
869,204440,2012,Mostly Positive
870,205690,2012,Mostly Positive
871,201882,2012,Mixed
872,207490,2012,Very Positive
873,206760,2012,Mixed
874,206521,2012,Positive
875,65249,2012,Mixed
877,108500,2012,Very Positive
878,206690,2012,Very Positive
879,205830,2012,Very Positive
880,108726,2012,Very Positive
881,47932,2012,Mixed
882,115110,2012,Very Positive
883,203560,2012,Very Positive
884,65246,2012,Mostly Negative
885,65253,2012,Positive
886,207420,2012,Mostly Positive
887,73060,2012,Mostly Negative
888,207790,2012,Mostly Negative
889,207710,2012,Mixed
890,204388,2012,5 user reviews
891,71167,2012,1 user reviews
892,204382,2012,5 user reviews
893,207250,2012,Mostly Positive
894,208110,2012,Mixed
895,208540,2012,5 user reviews
896,19320,2012,4 user reviews
897,207320,2012,Very Positive
898,65733,2012,6 user reviews
899,204180,2012,Very Positive
900,55382,2012,Mixed
901,110630,2012,Mixed
902,102850,2012,Mostly Positive
903,102510,2012,Positive
904,201271,2012,Very Positive
905,205840,2012,Very Positive
906,109500,2012,Mixed
908,208630,2012,Positive
909,208640,2012,Positive
910,205630,2012,Very Positive
911,206610,2012,Mostly Negative
912,65252,2012,Positive
913,208541,2012,Mixed
914,202310,2012,Mixed
915,202690,2012,Very Positive
916,204560,2012,Mostly Negative
917,65255,2012,Positive
918,207430,2012,Mixed
919,202524,2012,5 user reviews
920,213530,2012,Positive
921,213390,2012,Mixed
922,280720,2014,Very Positive
923,202370,2012,Mixed
925,40390,2012,Mostly Positive
926,204383,2012,6 user reviews
927,40391,2012,Mostly Positive
928,40392,2012,Positive
929,203750,2012,Very Positive
930,209370,2012,Very Positive
931,98300,2012,Very Positive
932,209373,2012,Positive
933,201277,2012,1 user reviews
934,55397,2012,Mixed
935,211204,2012,1 user reviews
936,211203,2012,1 user reviews
937,211207,2012,1 user reviews
938,211206,2012,4 user reviews
939,211205,2012,5 user reviews
941,91609,2012,Mostly Positive
942,65258,2012,4 user reviews
943,108232,2012,3 user reviews
944,211209,2012,2 user reviews
945,206714,2012,2 user reviews
946,203344,2012,6 user reviews
947,41014,2010,8 user reviews
948,41019,2012,9 user reviews
949,210230,2012,Positive
950,211800,2012,Mostly Positive
951,65256,2012,8 user reviews
952,65218,2012,Mostly Positive
953,209100,2012,Mixed
954,211010,2012,Mostly Positive
955,205530,2012,Mixed
957,108230,2012,9 user reviews
958,108200,2012,Very Positive
959,208281,2012,Mixed
960,208284,2012,Positive
961,207350,2012,Overwhelmingly Positive
962,208545,2012,6 user reviews
963,213370,2012,Very Positive
964,204100,2012,Very Positive
965,203766,2012,6 user reviews
966,203765,2012,Mixed
967,204182,2012,Positive
968,98821,2012,Positive
969,212500,2012,Very Positive
970,209790,2012,Very Positive
971,207080,2012,Overwhelmingly Positive
972,42170,2012,Mixed
973,213330,2012,Very Positive
974,204900,2012,6 user reviews
975,212160,2012,Mostly Positive
976,210561,2012,4 user reviews
977,42696,2012,Positive
978,213030,2012,Very Positive
979,203830,2012,Very Positive
980,213195,2012,6 user reviews
981,206480,2012,Mostly Positive
982,212630,2012,Mixed
983,210893,2012,5 user reviews
984,203778,2012,Mostly Positive
985,200010,2012,Very Positive
986,17080,2012,Mostly Positive
987,210933,2012,Very Positive
988,214170,2002,Very Positive
989,210892,2012,Mixed
991,205550,2012,Mixed
992,204384,2012,8 user reviews
993,1840,2012,Very Positive
995,97364,2012,1 user reviews
997,97371,2012,1 user reviews
998,97369,2012,1 user reviews
999,98421,2012,Very Positive
1000,206522,2012,Mixed
1005,48231,2012,Mixed
1015,210065,2012,1 user reviews
1018,210069,2012,2 user reviews
1021,213350,2012,Mixed
1022,20828,2012,5 user reviews
1023,215200,2012,6 user reviews
1025,215160,2012,Very Positive
1027,210068,2012,1 user reviews
1028,207650,2012,Mostly Positive
1029,207380,2012,Very Positive
1031,207400,2012,Very Positive
1032,108233,2012,1 user reviews
1033,108700,2012,Mostly Positive
1034,208355,2012,Mixed
1035,215243,2012,5 user reviews
1036,208365,2012,Mostly Positive
1037,210931,2012,Positive
1038,209270,2012,Mostly Positive
1039,208283,2012,Positive
1040,115120,2012,Very Positive
1041,215241,2012,9 user reviews
1042,215240,2012,5 user reviews
1043,202181,2012,Positive
1044,212010,2012,Mostly Positive
1045,730,2012,Very Positive
1047,208580,2005,Very Positive
1048,217290,2010,Very Positive
1049,207670,2012,Mixed
1050,208292,2012,8 user reviews
1051,208341,2012,2 user reviews
1052,208342,2012,4 user reviews
1054,216454,2012,3 user reviews
1057,216444,2012,2 user reviews
1058,72000,2012,Very Positive
1060,216434,2012,3 user reviews
1062,216433,2012,2 user reviews
1063,216448,2012,3 user reviews
1064,216431,2012,3 user reviews
1066,216462,2012,3 user reviews
1067,206450,2012,Very Positive
1068,200260,2012,Overwhelmingly Positive
1069,206440,2011,Overwhelmingly Positive
1070,214970,2012,Very Positive
1071,216468,2012,5 user reviews
1072,61730,2012,Very Positive
1074,33934,2012,Mostly Positive
1075,205950,2012,Very Positive
1076,97350,2012,3 user reviews
1077,204312,2012,7 user reviews
1078,204310,2012,6 user reviews
1079,204308,2012,6 user reviews
1080,204309,2012,3 user reviews
1081,204307,2012,3 user reviews
1082,204304,2012,4 user reviews
1083,48232,2012,Mixed
1084,210016,2012,1 user reviews
1085,210018,2012,1 user reviews
1086,210017,2012,3 user reviews
1087,210012,2012,2 user reviews
1088,210019,2012,3 user reviews
1089,210013,2012,3 user reviews
1090,58648,2012,4 user reviews
